bv1,bv2,bv3,severity,label
4715.861795095568,4697.547759703655,4679.851475423783,0.5,0
4715.861795095568,4692.488804385821,4670.115358060508,0.6,0
4715.861795095568,4687.330565689501,4660.276584409046,0.7,0
4715.861795095568,4682.319591521535,4650.802686368361,0.8,0
4715.861795095568,4667.692026543577,4621.215313394031,0.2,1
4715.861795095568,4653.142270823067,4593.239008419711,0.25,1
4715.861795095568,4637.696021820259,4563.847935968569,0.3,1
4715.861795095568,4704.535521992508,4693.443625421596,0.35,1
4715.861795095568,4604.347507784833,4501.377544561199,0.4,1
4715.861795095568,4677.719975890298,4642.178086368472,0.9,1
4715.861795095568,4673.771298156637,4634.827781239806,1.0,1
5801.75684891499,5790.191421181657,5778.734181461281,0.05,0
5801.75684891499,5777.078808782301,5752.820092194201,0.1,0
5801.75684891499,5762.906712046951,5725.057300094769,0.15,0
5801.75684891499,5779.744180045544,5758.597096278168,0.5,0
5801.75684891499,5773.753841643846,5747.111528689841,0.6,0
5801.75684891499,5767.642440509688,5735.50982189414,0.7,0
5801.75684891499,5761.703100796376,5724.335678772943,0.8,0
5801.75684891499,5747.668236927546,5695.4500238457695,0.2,1
5801.75684891499,5731.3661632536605,5664.084610951552,0.25,1
5801.75684891499,5714.04192606538,5631.078110582365,0.3,1
5801.75684891499,5788.015969509937,5774.635752643656,0.35,1
5801.75684891499,5676.5375975131155,5560.834814714884,0.4,1
5801.75684891499,5756.248736828536,5714.166333818132,0.9,1
5801.75684891499,5751.564469676732,5705.498192363861,1.0,1
5682.837412955397,5672.585611713044,5662.4160845355145,0.05,0
5682.837412955397,5660.687159990668,5638.8843688635325,0.1,0
5682.837412955397,5647.8186492379455,5613.635110204677,0.15,0
5682.837412955397,5664.148697212331,5646.205264397837,0.5,0
5682.837412955397,5658.96515569346,5636.278789170983,0.6,0
5682.837412955397,5653.666230114836,5626.232462002219,0.7,0
5682.837412955397,5648.505573306015,5616.544587068881,0.8,0
5682.837412955397,5633.967944832968,5586.6923733069925,0.2,1
5682.837412955397,5619.139292741241,5558.116217959035,0.25,1
5682.837412955397,5603.356831880161,5528.013416713716,0.3,1
5682.837412955397,5671.286434217953,5660.037575836601,0.35,1
5682.837412955397,5569.146701995914,5463.9389637912755,0.4,1
5682.837412955397,5643.757460041797,5607.713408651738,0.9,1
5682.837412955397,5639.672969275177,5600.178368610667,1.0,1
4892.311565887311,4881.049623907715,4869.858510611564,0.05,0
4892.311565887311,4868.250800642593,4844.539960615359,0.1,0
4892.311565887311,4854.44094746877,4817.449750262381,0.15,0
4892.311565887311,4870.904024965529,4850.241263731359,0.5,0
4892.311565887311,4865.092314568307,4839.061586022323,0.6,0
4892.311565887311,4859.175560304331,4827.782077416382,0.7,0
4892.311565887311,4853.436528091487,4816.938346011953,0.8,0
4892.311565887311,4839.614950101335,4788.631069596526,0.2,1
4892.311565887311,4823.785985421154,4758.166738251538,0.25,1
4892.311565887311,4806.9890312284915,4726.184011493481,0.3,1
4892.311565887311,4878.945766564086,4865.877766364121,0.35,1
4892.311565887311,4770.759294827332,4658.441997692459,0.4,1
4892.311565887311,4848.17632942141,4807.081886481155,0.9,1
4892.311565887311,4843.666488375249,4798.693328897692,1.0,1
3759.8783818717784,3749.8020894068545,3739.801300922877,0.05,0
3759.8783818717784,3738.0719134007254,3716.615257463031,0.1,0
3759.8783818717784,3725.446626374096,3691.8795534399314,0.15,0
3759.8783818717784,3741.637727795133,3723.9944503739575,0.5,0
3759.8783818717784,3736.6320900288783,3714.33954977323,0.6,0
3759.8783818717784,3731.547451392975,3704.614824367848,0.7,0
3759.8783818717784,3726.626482827382,3695.2813634798285,0.8,0
3759.8783818717784,3711.9290175742062,3665.6493536973794,0.2,1
3759.8783818717784,3697.539179112976,3638.069727594656,0.25,1
3759.8783818717784,3682.317441668859,3609.295312506782,0.3,1
3759.8783818717784,3748.582712384765,3737.525368422264,0.35,1
3759.8783818717784,3649.655903225411,3548.728836698421,0.4,1
3759.8783818717784,3722.125448726367,3686.810925187883,0.9,1
3759.8783818717784,3718.273520846612,3679.6119279285485,1.0,1
6718.503395117182,6707.859252233001,6697.430719794718,0.05,0
6718.503395117182,6695.617512378776,6673.285500197962,0.1,0
6718.503395117182,6682.359093369739,6647.3443306534855,0.15,0
6718.503395117182,6697.96654851293,6678.477904585915,0.5,0
6718.503395117182,6692.292515070591,6667.642080789804,0.6,0
6718.503395117182,6686.483071309236,6656.651009419814,0.7,0
6718.503395117182,6680.816343042013,6646.06060370694,0.8,0
6718.503395117182,6668.066817091249,6619.579952637174,0.2,1
6718.503395117182,6652.73990673209,6590.052479749049,0.25,1
6718.503395117182,6636.397741327332,6558.908135605897,0.3,1
6718.503395117182,6705.765335110263,6693.520552860832,0.35,1
6718.503395117182,6600.868102682498,6492.094194863817,0.4,1
6718.503395117182,6675.594867799468,6636.3567422374745,0.9,1
6718.503395117182,6671.097234337464,6628.095973880842,1.0,1
3950.356067753679,3940.459553498767,3930.648560666035,0.05,0
3950.356067753679,3928.9573813895604,3907.9199480818784,0.1,0
3950.356067753679,3916.5692006529875,3883.6416897107047,0.15,0
3950.356067753679,3932.4494858003764,3915.157991151793,0.5,0
3950.356067753679,3927.5283016362164,3905.679365380856,0.6,0
3950.356067753679,3922.5248463243743,3896.1249417086183,0.7,0
3950.356067753679,3917.6765116276756,3886.9428360801853,0.8,0
3950.356067753679,3903.2865808538277,3857.862721209548,0.2,1
3950.356067753679,3889.1410019815844,3830.6506938118478,0.25,1
3950.356067753679,3874.1469595430676,3802.1548418217026,0.3,1
3950.356067753679,3939.265365096922,3928.425794178536,0.35,1
3950.356067753679,3841.901593502188,3741.986490356827,0.4,1
3950.356067753679,3913.2360840911783,3878.6001359015763,0.9,1
3950.356067753679,3909.431654275917,3871.5029855414587,1.0,1
4665.2622269385665,4653.9498821869665,4642.738289583937,0.05,0
4665.2622269385665,4641.108232241378,4617.379329853978,0.1,0
4665.2622269385665,4627.260753015531,4590.267974211928,0.15,0
4665.2622269385665,4643.8172200520075,4623.140293218173,0.5,0
4665.2622269385665,4638.011595325164,4611.974185006753,0.6,0
4665.2622269385665,4632.110815751341,4600.712775414712,0.7,0
4665.2622269385665,4626.395121061242,4589.902048731626,0.8,0
4665.2622269385665,4612.408148846696,4561.450398226805,0.2,1
4665.2622269385665,4596.565130605363,4531.015467115118,0.25,1
4665.2622269385665,4579.769276840685,4499.098257283295,0.3,1
4665.2622269385665,4651.8600313344505,4638.772753185876,0.35,1
4665.2622269385665,4543.59898280467,4431.588649945806,0.4,1
4665.2622269385665,4621.162720733715,4580.084789651259,0.9,1
4665.2622269385665,4616.681578155133,4571.736535101856,1.0,1
5120.315275722648,5108.863684070815,5097.515577638245,0.05,0
5120.315275722648,5095.828938188339,5071.753718118829,0.1,0
5120.315275722648,5081.762165300741,5044.18256893719,0.15,0
5120.315275722648,5098.531959740134,5077.538552849444,0.5,0
5120.315275722648,5092.61255022715,5066.157547232682,0.6,0
5120.315275722648,5086.585666492298,5054.673829178205,0.7,0
5120.315275722648,5080.739386495419,5043.632776373995,0.8,0
5120.315275722648,5066.657589224779,5014.844595283682,0.2,1
5120.315275722648,5050.528018642384,4983.822516498011,0.25,1
5120.315275722648,5033.408442332477,4951.244263991501,0.3,1
5120.315275722648,5106.721877831176,5093.454801355939,0.35,1
5120.315275722648,4996.469895271635,4882.177382279378,0.4,1
5120.315275722648,5075.380554451058,5033.596129475766,0.9,1
5120.315275722648,5070.785920978088,5025.0536100629815,1.0,1
4908.868702610486,4898.172390569557,4887.577613748488,0.05,0
4908.868702610486,4885.845355249468,4863.21873611722,0.1,0
4908.868702610486,4872.5392006777265,4837.142367781008,0.15,0
4908.868702610486,4889.5262003814905,4870.906239257047,0.5,0
4908.868702610486,4884.212002641976,4860.696341543006,0.6,0
4908.868702610486,4878.795039393311,4850.383844144949,0.7,0
4908.868702610486,4873.534360218677,4840.458899281292,0.8,0
4908.868702610486,4858.2477095996,4809.387192630198,0.2,1
4908.868702610486,4842.982181115711,4780.029904494028,0.25,1
4908.868702610486,4826.774857668609,4749.1899666875715,0.3,1
4908.868702610486,4896.868678747149,4885.167527646191,0.35,1
4908.868702610486,4791.787452084403,4683.773668024385,0.4,1
4908.868702610486,4868.707091458711,4831.428301997462,0.9,1
4908.868702610486,4864.564262963926,4823.735635379258,1.0,1
5351.283162241309,5340.188973081308,5329.175498380032,0.05,0
5351.283162241309,5327.434340655049,5303.9597381379845,0.1,0
5351.283162241309,5313.662036376276,5276.980046090949,0.15,0
5351.283162241309,5330.078344016589,5309.64429791186,0.5,0
5351.283162241309,5324.275610147188,5298.499511731847,0.6,0
5351.283162241309,5318.362459092343,5287.241506655546,0.7,0
5351.283162241309,5312.620918216873,5276.413298456514,0.8,0
5351.283162241309,5298.864510131324,5248.27065900869,0.2,1
5351.283162241309,5283.050400582015,5217.94065200057,0.25,1
5351.283162241309,5266.255393506296,5186.557837389583,0.3,1
5351.283162241309,5338.09864646071,5325.228322543571,0.35,1
5351.283162241309,5229.997060839459,5119.449870843965,0.4,1
5351.283162241309,5307.350242619077,5266.580267405296,0.9,1
5351.283162241309,5302.831377483025,5258.189784278781,1.0,1
